#Table1
objID,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r,flags,flag_text,specObjID,z,zErr,zWarning,class,subClass
1237661121314292105,49.3041720844732,40.6535389207672,16.78915,2.097054,2.117881,1.182009,1.672277,0.4902687,0.9358721,4.481614,35253360394256,DEBLENDED_AT_EDGE STATIONARY BINNED1 SATURATED INTERP CHILD ,1875817739579320320,0.1002237,1.964831E-05,0,GALAXY,
1237670458047922299,48.814060627578,40.7727351950793,17.6414,2.214861,2.140486,1.236156,1.761192,0.5250359,0.9043293,2.130994,35253394735120,DEBLENDED_AT_EDGE STATIONARY BINNED1 DEBLENDED_AS_PSF SUBTRACTED INTERP CHILD ,1875829559329318912,0.1362077,1.904316E-05,0,GALAXY,
1237661082662077426,48.5421540424298,41.1653888500425,17.9562,2.943592,2.258812,1.368494,1.93737,0.5688763,0.8903179,1.294231,72057663025840128,MAYBE_CR STATIONARY BINNED1 ,1875834782009550848,-0.0001585719,8.918236E-06,0,STAR,K7
1237661060110745639,49.0207519307922,42.5443179232773,19.0528,2.596737,2.014259,1.230474,1.700853,0.4703789,0.7837849,1.517172,35287719874576,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP COSMIC_RAY CHILD ,1875839180056061952,-2.429013E-07,1.010528E-05,0,STAR,K3
1237661059574007036,49.1061764946493,41.9367922608528,17.15317,2.328091,2.206551,1.235912,1.757078,0.5211658,0.9706383,4.629614,35255507619856,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875858696387454976,0.1134686,2.313029E-05,0,GALAXY,
1237661060647749098,49.839766744255,42.6829555112029,17.62867,1.899416,2.032232,1.071669,1.632782,0.5611134,0.9605637,3.052268,35255507615760,DEBLENDED_AT_EDGE STATIONARY MOVED BINNED1 INTERP CHILD ,1875859795899082752,0.08086009,1.432121E-05,0,GALAXY,STARFORMING
1237661055281530187,49.1530003249114,41.5955682098865,17.32498,2.178995,2.192465,1.241671,1.773619,0.5319481,0.9507942,5.407341,35253360136208,DEBLENDED_AT_EDGE STATIONARY BINNED1 INTERP COSMIC_RAY CHILD ,1875868317114198016,0.1465144,2.834248E-05,0,GALAXY,
1237661056355336608,50.0367335929315,42.386893006074,18.00362,2.53367,2.031811,1.192905,1.721355,0.52845,0.8389053,1.068074,35287719870480,DEBLENDED_AT_EDGE STATIONARY BAD_MOVING_FIT BINNED1 INTERP CHILD ,1875874639306057728,6.220781E-05,9.194643E-06,0,STAR,K5
1237661060647944737,50.2804942339568,42.3835527322384,20.56704,-2.108322,4.184155,2.240324,3.278835,1.038511,1.94383,0.07385831,72233550526939224,MAYBE_CR PSF_FLUX_INTERP DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SATURATED INTERP NODEBLEND CHILD BLENDED ,1875896079782799360,-0.0003437999,3.359867E-05,0,STAR,F2
1237661055818663393,50.1775974531424,41.6947119969866,17.83062,2.16037,2.007986,1.113808,1.621389,0.5075817,0.8941784,2.548035,35259802587152,DEBLENDED_AT_EDGE STATIONARY DEBLENDED_AS_MOVING MOVED BINNED1 INTERP COSMIC_RAY CHILD ,1875901027585124352,0.08573911,2.26134E-05,0,GALAXY,
1237661060648338080,51.3238402274791,41.9024906974886,16.07513,7.226591,2.382936,1.322643,2.162539,0.8398962,1.060292,7.241049,105587745886480,DEBLEND_NOPEAK DEBLENDED_AT_EDGE BAD_MOVING_FIT BINNED1 SUBTRACTED SATURATED INTERP COSMIC_RAY NOPETRO CHILD ,1875921918306052096,-0.0002436377,8.003118E-06,0,STAR,A0
