objID,ra,dec,u_g,g_z,modelMag_r,petroRad_r
1.23766E+18,50.69155062,41.07554845,1.113674,0.7866364,16.06857,0.9319907
1.23766E+18,50.67134802,41.11661088,1.638103,1.207054,17.23474,0.9568601
1.23766E+18,49.68824754,42.12987985,1.589115,1.233898,16.9396,0.8257849
1.23766E+18,49.75346112,42.18389675,1.375189,0.9564133,16.82439,0.8416643
1.23766E+18,49.85401372,42.16089171,1.315315,0.9214993,16.90536,0.8271928
1.23766E+18,49.76007657,42.12256354,1.187487,0.9799099,17.04319,6.933965
1.23766E+18,49.88547343,42.15892535,1.444569,1.0028,16.64862,0.8536717
1.23766E+18,49.85686936,42.08819079,1.383646,0.9403219,16.31302,0.8959335
1.23766E+18,49.84382655,42.01914196,1.651438,1.26824,16.71613,0.9176801
1.23766E+18,50.38686784,41.84996427,1.276731,0.9484434,16.07736,0.8887306
1.23766E+18,50.38222311,41.78686025,1.396477,0.958559,16.50772,0.8772404
1.23766E+18,50.50736201,41.85998071,1.347647,0.9100018,16.56497,0.8473915
1.23766E+18,50.55018384,41.81636963,1.251855,0.911438,15.87311,1.763162
1.23766E+18,50.54867914,41.62251824,1.332407,0.8843956,16.6807,0.9663761
1.23766E+18,50.73293641,41.78211506,1.266264,0.8260956,17.25547,0.9416981
1.23766E+18,50.79583539,41.62289799,1.392054,0.9920034,16.33424,0.9360682
1.23766E+18,50.79088159,41.63351313,1.465967,1.031496,17.21977,0.9281276
1.23766E+18,48.9599399,41.48768716,1.246082,0.9856892,14.70111,1.972604
1.23766E+18,49.04245883,41.53970613,1.207333,0.7577696,16.08397,1.043714
1.23766E+18,49.08117643,41.45802303,1.369699,0.9904099,16.38922,1.072565
1.23766E+18,49.08048191,41.46834925,1.418249,1.043097,17.01674,1.028346
1.23766E+18,49.11736354,41.44275209,1.35969,0.9166794,16.74401,1.023823
1.23766E+18,49.06844045,41.32749035,1.143604,0.9634056,16.81126,1.963656
1.23766E+18,49.45986915,41.31532282,1.349171,0.9155521,16.70744,1.038192
1.23766E+18,49.57703647,41.28105519,1.502251,1.089119,16.72902,1.132206
1.23766E+18,49.51831101,41.1930494,1.235224,1.207323,17.18126,1.035148
1.23766E+18,49.52531584,41.17439186,1.287942,1.14877,14.78395,2.033707
