name,objID,ra,dec,type,u_g,modelMag_r,g_z,petroRad_r
PCC-2878,1.23766E+18,49.68221045,41.26777722,GALAXY,1.057112,19.53134,1.320898,1.833131
PCC-2918,1.23766E+18,49.68695359,41.63382969,GALAXY,1.741289,18.28841,1.574745,5.899782
PCC-2928,1.23766E+18,49.68756248,41.22600999,GALAXY,1.040514,18.01791,0.9463158,4.19055
PCC-2959,1.23766E+18,49.69251978,41.4049068,GALAXY,1.687134,18.0261,1.54285,9.236158
PCC-2961,1.23766E+18,49.69287796,41.60287603,GALAXY,1.12981,20.61333,1.64666,18.01974
PCC-2971,1.23766E+18,49.69465534,41.58760275,GALAXY,1.293209,19.5667,1.751541,1.995064
PCC-3010,1.23766E+18,49.699115,41.74790585,GALAXY,2.090137,17.62265,1.609179,8.353142
PCC-3025,1.23766E+18,49.70036099,41.52878108,GALAXY,1.913448,18.14975,2.023123,2.60607
PCC-3028,1.23766E+18,49.70062437,41.43976747,GALAXY,1.609142,17.43616,0.6918068,10.25623
PCC-3046,1.23766E+18,49.70290257,41.73589974,GALAXY,2.072138,19.18205,2.27445,1.426633
PCC-3076,1.23766E+18,49.70766352,41.5066373,GALAXY,2.077662,16.75766,1.645988,8.997107
PCC-3088,1.23766E+18,49.70920183,41.70481435,GALAXY,1.626558,18.25375,2.496347,5.873117
PCC-3109,1.23766E+18,49.71179553,41.72361991,GALAXY,0.9824352,19.05034,2.012373,3.903545
PCC-3116,1.23766E+18,49.71204069,41.63981158,GALAXY,1.975563,17.25065,1.667816,6.680282
PCC-3159,1.23766E+18,49.71748315,41.67877582,STAR,2.935995,19.5482,3.388987,0.8277795
PCC-3164,1.23766E+18,49.71774735,41.26755783,GALAXY,0.2259464,17.35186,1.454119,13.38139
PCC-3190,1.23766E+18,49.72087069,41.54875948,GALAXY,5.01543,17.2,-2.64452,10.22438
PCC-3205,1.23766E+18,49.72272927,41.30942822,GALAXY,5.009499,19.57966,1.06978,7.637955
PCC-3234,1.23766E+18,49.72593558,41.29541273,GALAXY,1.258745,19.48101,1.227507,4.950427
PCC-3244,1.23766E+18,49.72686961,41.22245654,GALAXY,7.701906,18.27106,0.3508587,43.76662
PCC-3286,1.23766E+18,49.73141802,41.55637308,GALAXY,1.761169,20.72507,0.1217155,2.054769
PCC-3303,1.23766E+18,49.73333499,41.57874707,GALAXY,1.672335,18.14951,1.329027,18.01974
PCC-3305,1.23766E+18,49.73343898,41.68620225,GALAXY,1.693007,17.8745,1.413122,5.390026
PCC-3313,1.23766E+18,49.73456279,41.63462108,GALAXY,1.472054,17.83581,1.365313,3.930212
PCC-3316,1.23766E+18,49.73500721,41.25990082,GALAXY,2.493378,19.48338,1.337837,3.638766
PCC-3361,1.23766E+18,49.73984098,41.35901812,GALAXY,1.241117,18.53631,1.269999,2.969453
PCC-3366,1.23766E+18,49.74036421,41.4160375,GALAXY,3.878317,19.01617,0.6389923,11.30434
PCC-3379,1.23766E+18,49.74148336,41.63506455,GALAXY,2.038477,15.53891,1.808393,9.159197
PCC-3401,1.23766E+18,49.74541711,41.32087267,GALAXY,1.561756,17.17602,1.517712,8.498062
PCC-3408,1.23766E+18,49.74633784,41.63772182,GALAXY,2.289989,19.57705,3.012413,2.31664
PCC-3418,1.23766E+18,49.74832053,41.44451996,GALAXY,1.80975,19.11835,1.498514,6.633367
PCC-3441,1.23766E+18,49.75132402,41.20581743,GALAXY,1.998825,18.5749,1.854799,1.85758
PCC-3444,1.23766E+18,49.75149917,41.48396737,GALAXY,1.206635,20.47615,1.318325,3.11277
PCC-3450,1.23766E+18,49.75211529,41.66603431,GALAXY,3.077892,18.48388,2.510057,4.815218
PCC-3462,1.23766E+18,49.7545019,41.30274029,GALAXY,1.401993,19.19832,1.426046,2.44522
PCC-3477,1.23766E+18,49.75639914,41.21834799,GALAXY,1.578144,19.09422,1.513895,2.74814
PCC-3529,1.23766E+18,49.76243321,41.50429534,GALAXY,1.777124,17.14917,1.544878,7.482985
PCC-3531,1.23766E+18,49.76245244,41.30797911,GALAXY,2.638159,18.29481,1.97917,5.005571
PCC-3605,1.23766E+18,49.77045135,41.36146087,GALAXY,2.044001,18.24847,1.997107,2.573941
PCC-3627,1.23766E+18,49.77512331,41.43856581,GALAXY,1.25363,19.46359,1.389399,11.30434
PCC-3661,1.23766E+18,49.78166175,41.25234324,GALAXY,1.616028,17.61248,1.597,7.465219
PCC-3668,1.23766E+18,49.78227495,41.4113772,GALAXY,3.845512,18.297,1.7108,7.105825
PCC-3672,1.23766E+18,49.78259816,41.41273303,GALAXY,3.1861,17.87237,1.374729,9.901052
PCC-3687,1.23766E+18,49.78521268,41.58111118,GALAXY,1.675518,16.89758,1.541508,8.444178
PCC-3700,1.23766E+18,49.78747644,41.52922868,GALAXY,2.378429,19.28735,2.046179,2.360449
PCC-3723,1.23766E+18,49.78943716,41.70468199,GALAXY,1.403421,18.14489,1.493675,7.6727
PCC-3741,1.23766E+18,49.79194285,41.41007735,GALAXY,2.028044,18.95878,1.620228,3.978168
PCC-3742,1.23766E+18,49.79256064,41.67813337,GALAXY,2.013845,18.03463,1.618624,9.146162
PCC-3749,1.23766E+18,49.79347132,41.49359289,GALAXY,2.143284,18.8083,1.504484,4.747866
PCC-3799,1.23766E+18,49.79941617,41.75881137,GALAXY,2.172552,19.43202,1.483259,7.357969
PCC-3817,1.23766E+18,49.80070327,41.46547593,GALAXY,3.921835,19.33727,2.882999,3.751514
PCC-3849,1.23766E+18,49.80378086,41.58112933,GALAXY,2.39562,18.4143,2.103262,2.348194
PCC-3919,1.23766E+18,49.81242528,41.67778606,GALAXY,1.716032,19.4901,1.613972,5.137517
PCC-3921,1.23766E+18,49.81264623,41.23129873,GALAXY,5.828825,18.4267,1.247921,8.763486
PCC-3963,1.23767E+18,49.81779548,41.75372123,GALAXY,2.90374,20.8593,0.5589943,1.813332
PCC-3997,1.23766E+18,49.82309008,41.40783983,GALAXY,1.515202,19.39914,1.736074,2.778635
PCC-4002,1.23766E+18,49.82361306,41.3769989,GALAXY,1.715424,17.90176,1.087152,9.541643
PCC-4039,1.23766E+18,49.82862181,41.28831855,GALAXY,1.465488,18.71819,2.016907,3.608814
PCC-4065,1.23766E+18,49.83165076,41.40729414,GALAXY,3.468754,19.35637,1.80715,4.462332
PCC-4089,1.23766E+18,49.83520228,41.41591533,GALAXY,2.593735,17.8893,1.953436,2.982965
PCC-4162,1.23766E+18,49.84333394,41.42934298,GALAXY,2.131654,14.28693,1.922055,6.129025
PCC-4208,1.23766E+18,49.84949364,41.69241154,GALAXY,1.75988,16.41424,1.59492,9.152423
PCC-4214,1.23766E+18,49.84985268,41.66191295,GALAXY,1.961037,19.84847,1.354614,3.840107
PCC-4260,1.23766E+18,49.85457447,41.23116166,GALAXY,1.296873,17.52987,1.309456,6.444811
PCC-4286,1.23766E+18,49.85766877,41.32645432,GALAXY,2.144676,18.7037,2.347164,4.908688
PCC-4297,1.23766E+18,49.8584298,41.26208589,GALAXY,2.090132,19.49379,1.467293,5.643189
PCC-4327,1.23767E+18,49.86251606,41.45461612,GALAXY,1.981937,17.63222,1.55472,8.647213
PCC-4328,1.23766E+18,49.86252824,41.62342198,GALAXY,2.390419,17.78735,1.776218,11.30654
PCC-4330,1.23766E+18,49.86266102,41.60814846,GALAXY,1.922052,17.91178,1.480223,10.14701
PCC-4361,1.23766E+18,49.86672006,41.38162899,GALAXY,2.271217,18.83628,1.832151,3.618186
PCC-4383,1.23766E+18,49.86869089,41.41863624,GALAXY,3.707764,18.72729,2.87962,3.545312
PCC-4402,1.23767E+18,49.87147702,41.73609848,GALAXY,1.777065,19.13093,1.313896,4.9509
PCC-4488,1.23767E+18,49.88079088,41.44142915,GALAXY,1.78466,18.02001,1.488245,5.95448
PCC-4502,1.23767E+18,49.88251348,41.74453226,GALAXY,3.955753,19.29449,-0.5348988,7.691484
PCC-4508,1.23766E+18,49.88319113,41.30423381,GALAXY,1.719509,16.58471,1.819835,6.976413
PCC-4515,1.23767E+18,49.88390209,41.71749058,GALAXY,2.124285,19.11043,1.930006,2.624102
PCC-4594,1.23766E+18,49.89504004,41.39179228,GALAXY,1.316715,18.76054,1.380062,3.421595
PCC-4608,1.23766E+18,49.89694853,41.6178803,GALAXY,1.654661,18.18883,1.408957,6.634493
PCC-4675,1.23766E+18,49.90669923,41.38004735,GALAXY,2.037449,15.79804,1.725286,12.31191
PCC-4743,1.23766E+18,49.91452387,41.27787493,GALAXY,1.045465,20.32944,2.84943,2.692215
